"Country Name","Country Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Pakistán","PAK",NA,28.7,NA,NA,30.9,31.3,NA,29.7,NA,NA,28.8,29.7,NA,29.5,NA,31.3,NA,NA,29.6,NA,NA,NA,NA,NA,NA
"Panamá","PAN",56.6,56.7,56.1,55.6,54.8,53.8,54.6,52.7,52.7,51.8,51.6,51.3,51.7,51.5,50.5,50.8,50.4,49.9,49.2,49.8,NA,50.9,NA,48.9,49.7
"Perú","PER",49.1,51.3,53.6,53.1,49.9,50.4,50.3,50,47.5,47,45.5,44.7,44.4,43.9,43.1,43.4,43.6,43.3,42.4,41.5,43.7,40.1,40.3,40.7,40.1
"Filipinas","PHL",47.7,NA,NA,46.6,NA,NA,47.2,NA,NA,46.3,NA,NA,46.5,NA,NA,44.6,NA,NA,42.3,NA,NA,40.7,NA,39.3,NA
"Polonia","POL",33,32.8,34.1,34.9,38,35.8,34.7,34,33.5,33.4,33.2,33.2,33,33.1,32.8,31.8,31.2,29.7,30.2,28.8,28.5,28.5,28.9,28.5,NA
"Portugal","PRT",NA,NA,NA,38.8,38.9,38.5,38.1,36.8,36.6,34.9,35.8,36.3,36,36.2,35.6,35.5,35.2,33.8,33.5,32.8,34.7,34.6,36.3,33.9,NA
"Paraguay","PRY",NA,54.6,57.3,54.9,52.3,51.4,53,53,50.7,49.1,51,52.3,47.6,47.9,50.7,47.6,47.9,48.5,46,45.7,43.5,42.9,44.6,44.2,44.2
"Ribera Occidental y Gaza","PSE",NA,NA,NA,NA,34,34.7,34,35.6,NA,34.5,35.3,34.4,NA,NA,NA,NA,33.7,NA,NA,NA,NA,NA,NA,36.4,NA
"Rumania","ROU",29.3,29.4,30.2,29.9,30,29.8,39.6,37.5,36.4,35.6,35.5,35.9,36.5,36.9,36,35.9,34.4,36,35.8,34.8,34.6,33.9,32.3,29.8,NA
"Federación de Rusia","RUS",37.1,36.9,37.3,40,40.3,41.3,41,42.3,41.6,39.8,39.5,39.7,40.7,40.9,36.9,36.5,36.7,35.5,35.3,35.7,33.7,35.1,33.9,33,NA
"Rwanda","RWA",48.5,NA,NA,NA,NA,52,NA,NA,NA,NA,47.2,NA,NA,45.1,NA,NA,43.7,NA,NA,NA,NA,NA,NA,39.4,NA
"Senegal","SEN",NA,41.2,NA,NA,NA,39.2,NA,NA,NA,NA,NA,40.3,NA,NA,NA,NA,NA,NA,38.3,NA,NA,36.2,NA,NA,NA
"El Salvador","SLV",51.5,51.3,51.9,50.4,47.8,48.5,45.7,45.2,46.9,45.8,43.5,42.3,41.8,43.4,41.6,40.6,40,38,38.6,38.8,NA,39,38.8,39.8,NA
"Serbia","SRB",NA,NA,32.7,32.8,35.5,36.5,29.7,28.7,27.6,28,29,NA,39.9,39.4,40.4,40.5,38.8,36.1,35,34.5,35,33.1,32.8,NA,NA
